Position,First name,Last name,Nationality,Wins,Points
1,Max,Verstappen,Dutch,17,524
2,Sergio,Pérez,Mexican,2,258
3,Lewis,Hamilton,British,0,226
4,Fernando,Alonso,Spanish,0,198
5,Lando,Norris,British,0,195
6,Carlos,Sainz,Spanish,1,192
7,Charles,Leclerc,Monegasque,0,170
8,George,Russell,British,0,156
9,Oscar,Piastri,Australian,0,87
10,Lance,Stroll,Canadian,0,63
11,Pierre,Gasly,French,0,62
12,Esteban,Ocon,French,0,46
13,Alexander,Albon,Thai,0,27
14,Yuki,Tsunoda,Japanese,0,13
15,Valtteri,Bottas,Finnish,0,10
16,Nico,Hülkenberg,German,0,9
17,Daniel,Ricciardo,Australian,0,6
18,Guanyu,Zhou,Chinese,0,6
19,Kevin,Magnussen,Danish,0,3
20,Liam,Lawson,New Zealander,0,2
21,Logan,Sargeant,American,0,1
22,Nyck,de Vries,Dutch,0,0
